Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of necrotic cell death (GO:0010939),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,HEBP2
GO_Biological_Process_2021,nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070431),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,RIPK2
GO_Biological_Process_2021,regulation of miRNA mediated inhibition of translation (GO:1905616),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DDX6
GO_Biological_Process_2021,cytochrome complex assembly (GO:0017004),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,COA6
GO_Biological_Process_2021,negative regulation of stress-activated protein kinase signaling cascade (GO:0070303),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,GSTP1
GO_Biological_Process_2021,regulation of glucocorticoid receptor signaling pathway (GO:2000322),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PHB
GO_Biological_Process_2021,negative regulation of protein K63-linked ubiquitination (GO:1900045),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,OTUB1
GO_Biological_Process_2021,regulation of defense response to bacterium (GO:1900424),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,GRN
GO_Biological_Process_2021,negative regulation of nervous system process (GO:0031645),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,JAM2
GO_Biological_Process_2021,regulation of chromatin assembly or disassembly (GO:0001672),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PADI2
GO_Biological_Process_2021,bleb assembly (GO:0032060),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,ANO6
GO_Biological_Process_2021,autophagosome membrane docking (GO:0016240),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,STX17
GO_Biological_Process_2021,negative regulation of DNA repair (GO:0045738),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,OTUB1
GO_Biological_Process_2021,ammonium transport (GO:0015696),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,AQP1
GO_Biological_Process_2021,synaptic vesicle docking (GO:0016081),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,STX1B
GO_Biological_Process_2021,membrane fission (GO:0090148),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DNM1L
GO_Biological_Process_2021,positive regulation of vesicle fusion (GO:0031340),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DOC2B
GO_Biological_Process_2021,protein localization to cytoplasmic stress granule (GO:1903608),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DHX9
GO_Biological_Process_2021,negative regulation of acute inflammatory response (GO:0002674),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,GSTP1
GO_Biological_Process_2021,positive regulation of cell death (GO:0010942),3/66,0.1224691233737844,0.7034417422741066,0,0,2.545927660681759,5.346184163484019,HEBP2;RIPK2;PHB
GO_Biological_Process_2021,apoptotic mitochondrial changes (GO:0008637),2/33,0.1234839069969541,0.7034417422741066,0,0,3.44554803551024,7.206861388202258,MFF;DNM1L
GO_Biological_Process_2021,regulation of neurotransmitter secretion (GO:0046928),2/33,0.1234839069969541,0.7034417422741066,0,0,3.44554803551024,7.206861388202258,STX1B;CPLX1
GO_Biological_Process_2021,exonucleolytic catabolism of deadenylated mRNA (GO:0043928),2/33,0.1234839069969541,0.7034417422741066,0,0,3.44554803551024,7.206861388202258,DDX6;HBS1L
GO_Biological_Process_2021,negative regulation of cell cycle G1/S phase transition (GO:1902807),2/35,0.13593552583547,0.7034417422741066,0,0,3.23639666418958,6.458470915129417,GPNMB;FHL1
GO_Biological_Process_2021,cellular response to hydrogen peroxide (GO:0070301),2/35,0.13593552583547,0.7034417422741066,0,0,3.23639666418958,6.458470915129417,NET1;AQP1
GO_Biological_Process_2021,regulation of JUN kinase activity (GO:0043506),2/35,0.13593552583547,0.7034417422741066,0,0,3.23639666418958,6.458470915129417,PAK1;GSTP1
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)",2/35,0.13593552583547,0.7034417422741066,0,0,3.23639666418958,6.458470915129417,DDX6;HBS1L
GO_Biological_Process_2021,regulation of protein polymerization (GO:0032271),2/35,0.13593552583547,0.7034417422741066,0,0,3.23639666418958,6.458470915129417,COTL1;PAK3
GO_Biological_Process_2021,protein localization to presynapse (GO:1905383),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,HSPB1
GO_Biological_Process_2021,negative regulation of calcium ion import (GO:0090281),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,VDAC1
GO_Biological_Process_2021,long-term synaptic depression (GO:0060292),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PICK1
